song,artist,date
Natzurka,Accordzêam
Butterfield's Lullaby,The American Captain
Ragged Wood - Transition Basement Sketch,Fleet Foxes
Bistro Fada,Stephane Wrembel
Ek Ladki Ko Dekha,Kumar Sanu
Lego House,Ed Sheeran
Time After Time - The Voice Performance,Javier Colon
Rasputin,Boney M.
The 59th Street Bridge Song,Simon & Garfunkel
Shahbaaz Qalandar,Nusrat Fateh Ali Khan
Money,Cardi B
Granada - From Vicky Cristina Barcelona,Starlite Unlimited
Smoke.Netflix.Chill.,Tank and the Bangas
Feeling Good,Nina Simone
Estrellita,Manuel Ponce
California,Rogue Wave
Vanessa,Grimes
All the Same,Vieux Farka Touré
The Wedding,Armand Amar
Pink + White,Frank Ocean
The Wedding,Armand Amar
Give Me Love,Ed Sheeran
Give Me Love,Ed Sheeran
Lal Meri Pat,Junoon
This Must Be the Place (Naive Melody),Talking Heads
This Must Be the Place (Naive Melody),Talking Heads
Ocean,Azam Ali and Loga Ramin Torkian
Lal Meri Pat,Junoon
Naghmeye Tar,Fariborz Lachini
Don't Look Back In Anger - Remastered,Oasis
Maybe It's Time,Bradley Cooper
Can I Kick It?,A Tribe Called Quest
Neighbors,J. Cole
Morning Song,Le Loup
Feel Good Lost,Broken Social Scene
Japura River,Philip Glass
Trocitos de Madera,La Yegros
Bird Song - Diplo Remix,M.I.A.
Mehndi Laga Ke Rakhna (From "Dilwale Dulhania Le Jayenge"),Lata Mangeshkar
Don't Worry Be Happy,Bobby McFerrin
Light Through the Veins,Jon Hopkins
DNA.,Kendrick Lamar
I Love the USA,Weezer
Jazz (We've Got),A Tribe Called Quest
Penelope,Pinback
Vincent,James Blake
Mr. Fox in the Fields,Alexandre Desplat
Masquerade - Ballet Suite: 1. Waltz,Aram Khachaturian
Skypager,A Tribe Called Quest
Obiero,Ayub Ogada
Loro,Pinback
Ely's Heartbeat,Mono
You Can Call Me Al,Paul Simon
Tiliaden Osamnat,Tinariwen
CMYK,James Blake
Everywhere - 2017 Remaster,Fleetwood Mac
Matadjem Yinmixan,Tinariwen
Beat For,Jamie xx
The Cascades,Fleet Foxes
No Scrubs,TLC
Ain't No Sunshine,Bill Withers
We Didn't Start the Fire,Billy Joel
Tiger Mountain Peasant Song,Fleet Foxes
Postcards From Italy,Beirut
Down To The River To Pray - From “O Brother, Where Art Thou” Soundtrack,Alison Krauss
Ali Maula Ali Maula Ali Dam Dam,Nusrat Fateh Ali Khan
Le temps de l'amour - Remastered,Françoise Hardy
Silly Ho,TLC
Don't Look Back In Anger,Devendra Banhart
Heartbeats,José González
Ek Ladki Ko Dekha,Kumar Sanu
Kerala,Bonobo
God's Plan,Drake
Fortunate Son,Creedence Clearwater Revival
Embryonic Journey,Jefferson Airplane
Down the Hillside,José González
Sahib Teri Bandi - Maki Madni,The Derek Trucks Band
Montezuma,Fleet Foxes
Mere Khwabon Mein,Lata Mangeshkar
Chanel,Frank Ocean
English House - Basement Demo,Fleet Foxes
Vienna,Matt Costa
FanMail,TLC
Fields of Coral,Vangelis
O Sanam,Lucky Ali
Mirie It Is,Anon
Cum Doctorum,Anon. Ludus Danielis
Soy Marco (From "Talk to Her (Hable Con Ella)"),Alberto Iglesias
Coyita,Gustavo Santaolalla
My Foolish Heart,Robi Botos
Redemption,Carlos José Alvarez
Maria Carolina,Antonio Lauro
Leyendo en el Hospital,Gustavo Santaolalla
Cool,Flamenco Music Musica Flamenca Chill Out
Duur,Strings
Natzurka,Accordzêam
Big Brother (from the Motion Picture "Vicky Cristina Barcelona"),Stephane Wrembel
Marea Baja,Vetusta Morla
Five Preludes, No. 1 In E Minor,Fabio Zanon
Farewell,Emilio Kauderer & Federico Jusid
Vals Poético (feat. Los Macorinos) - Instrumental,Natalia Lafourcade
The Round Table,Enaid
Irish Dance,Andrei Krylov
Huddled in the Shadows,Austin Wintory
Auriel's Ascension,Jeremy Soule
Dilectio,Lorne Balfe
The Isle,Elane
A Chance Meeting,Jeremy Soule
Liane's Ocean,Ensemble Galilei
Tumbao,Tommy Brunjes
Princess of Nowhere,Stephen Warbeck
N'Kara's Theme,Nick Glennie-Smith
I'm Right Here,Theodore Shapiro
Assyrian Rose,Glen Velez
Tanâsim 3,Le Trio Joubran
Tribune Tower,Mark Isham
O Sanam,Lucky Ali
What A Day That Was - Live Edit,Talking Heads
This Must Be The Place (Naive Melody) - 2005 Remastered Version,Talking Heads
Burn - Confession Special Edition Version,Usher
Let's Hear That String Part Again, Because I Don't Think They Heard It All the Way Out in Bushnell,Sufjan Stevens
They Are Night Zombies!! They Are Neighbors!! They Have Come Back From the Dead!! Ahhhh!,Sufjan Stevens
Prairie Fire That Wanders About,Sufjan Stevens
The Man of Metropolis Steals Our Hearts,Sufjan Stevens
To the Workers of the Rock River Valley Region, I Have an Idea Concerning Your Predicament, and It Involves an Inner Tube, Bath Mats, and 21 Able-bodied Men,Sufjan Stevens
Casimir Pulaski Day,Sufjan Stevens
Chicago,Sufjan Stevens
Decatur, or, Round of Applause for Your Stepmother!,Sufjan Stevens
A Short Reprise for Mary Todd, Who Went Insane, But for Very Good Reasons,Sufjan Stevens
John Wayne Gacy, Jr.,Sufjan Stevens
Come on! Feel the Illinoise! Part I: The World's Columbian Exposition Part II: Carl Sandburg Visits Me in a Dream,Sufjan Stevens
The Black Hawk War, or, How to Demolish an Entire Civilization and Still Feel Good About Yourself in the Morning, or, We Apologize for the Inconvenience But You're Going to Have to Leave Now, or...,Sufjan Stevens
Concerning the UFO Sighting Near Highland, Illinois,Sufjan Stevens
Silent Night,Sufjan Stevens
Jingle Bells,Sufjan Stevens
Wallowa Lake Monster,Sufjan Stevens
Should Have Known Better,Sufjan Stevens
Aadat,Atif Aslam
Teri Deewani (From "Kailasa"),Kailash Kher
Taal Se Taal,A.R. Rahman
Phir Bhi Dil Hai Hindustani,Jatin-Lalit
Tu Hi Re - Bombay / Soundtrack Version,Hariharan
Mere Rashke Qamar,Rahat Fateh Ali Khan
Too Cheez Badi Hain,Udit Narayan
Ek Ladki Ko Dekha,Kumar Sanu
Chura Liya Hai Tumne Jo Dil Ko (From "Yaadon Ki Baaraat"),Asha Bhosle
Choli Ke Peeche (From "Khal Nayak"),Alka Yagnik
Jaan Pehechaan Ho,Mohammed Rafi
Ho gaya hai tujhko to pyar sajna,Lata Mangeshkar
Dekha Hai Aise Bhi,Lucky Ali
Imtidad,Driss El Maloumi
The Caravan,Jerry Goldsmith
House Of Delights (Gods Of The Arena) - From "Spartacus: Gods Of The Arena",Joseph LoDuca
Desert Crossing,David Arkenstone
La Terre Vue Du Ciel,Armand Amar
Dream Of The Palace,Armand Amar
Morente Habichuela - Alegrías,Josemi Carmona
The Wedding,Armand Amar
Granada - From Vicky Cristina Barcelona,Starlite Unlimited
Tigrawahi Tikma,Bombino
Dance Of Death,Andrew Bird
Dotara Song,Coubo
Magic Palace,Derek Fiechter
Oh What A World,Rufus Wainwright
That Old Pair Of Jeans,Fatboy Slim
falling asleep with a book on your chest (piano version),Lullatone
Marea Baja,Vetusta Morla
Marea Baja,Vetusta Morla
Dream Is Collapsing,Hans Zimmer
Sweet Creature,Harry Styles
One Day - From "Pirates of the Caribbean: At World's End"/Score,Hans Zimmer
Dream Is Collapsing,Hans Zimmer
Chevaliers de Sangreal,Hans Zimmer
Time,Hans Zimmer
Drink Up Me Hearties Yo Ho - From "Pirates of the Caribbean: At World's End"/Score,Hans Zimmer
Drink Up Me Hearties Yo Ho - From "Pirates of the Caribbean: At World's End"/Score,Hans Zimmer
The Council of Elrond (feat. "Aniron) (Theme for Aragorn and Arwen "),Howard Shore
The Council of Elrond (feat. "Aniron) (Theme for Aragorn and Arwen "),Howard Shore
Becoming One of "The People" Becoming One with Neytiri,James Horner
For the Love of a Princess,James Horner
Are Diwano Mujhe Pehchano (From "Don"),Kishore Kumar
Kise Da Yaar Na Vichhre,Nusrat Fateh Ali Khan
Are Diwano Mujhe Pehchano (From "Don"),Kishore Kumar
Mahi Yaar Di Ghadholi,Abida Parveen
Burn - Confession Special Edition Version,Usher
Dil Se Re,A.R. Rahman
Burn - Confession Special Edition Version,Usher
The Mission: Gabriel's Oboe,Ennio Morricone
The Mission: Gabriel's Oboe,Ennio Morricone
Look Closely,Hans Zimmer
Längtan,Engvall
Elysium,Klaus Badelt
The Crown Main Title,Hans Zimmer
Perpetual (feat. Liz Navarra),Tony Anderson
Planetarium - From "La La Land" Soundtrack,Justin Hurwitz
A Golden Childhood,Patrick Doyle
Amarcord,Nino Rota
Planetarium - From "La La Land" Soundtrack,Justin Hurwitz
Amarcord,Nino Rota
Lily's Theme,Alexandre Desplat
Solomon (from "12 Years A Slave"),L'Orchestra Cinematique
Lily's Theme,Alexandre Desplat
The Gift Of Mortality - Instrumental,James Horner
Homecoming,Thomas Bergersen
Honor [Main Title Theme From "The Pacific"],Hans Zimmer
Où Est Mon Bonheur? (feat. Chad Lawson),David Clavijo
Merida's Home - From "Brave"/Score,Patrick Doyle
Pacific,Sleeping at Last
Nocturne in Paris,Tony Anderson
Dream Of The Palace,Armand Amar
Lila,Vas
The Hebrews,Alberto Iglesias
Medieval Song and Whirling Dance of Arabian Lion,Andrei Krylov
The Hebrews,Alberto Iglesias
Shahbaaz Qalandar,Nusrat Fateh Ali Khan
Roadgame,Kavinsky
Pacific Coast Highway,Kavinsky
Pacific Coast Highway,Kavinsky
Gosh,Jamie xx
Back on the Path,Marcin Przybyłowicz
Tigrawahi Tikma,Bombino
Le Piroguier,Henri Texier
Diaraby,Ali Farka Touré
Reflected In Neon,Portico Quartet
I'm Sam Bell, Too...,Clint Mansell
I'm Sam Bell,Clint Mansell
Two Weeks & Counting...,Clint Mansell
Ek Ladki Ko Dekha,Kumar Sanu
Tigrawahi Tikma,Bombino
Welcome to Lunar Industries,Clint Mansell
Penny Lane - Stereo Mix 2017,The Beatles
Money,Cardi B
Bees,Caribou
Dance Of Death,Andrew Bird
Why Don't You Write Me,Simon & Garfunkel
El Condor Pasa (If I Could),Simon & Garfunkel
So Long, Frank Lloyd Wright,Simon & Garfunkel
El Condor Pasa (If I Could),Simon & Garfunkel
Keep the Customer Satisfied,Simon & Garfunkel
Prickly Pear,Portico Quartet
The Only Living Boy in New York,Simon & Garfunkel
Choli Ke Peeche (From "Khal Nayak"),Alka Yagnik
Les Chansons des roses: No. 5. Dirait-on,Morten Lauridsen
O Superman - For Massenet Remastered,Laurie Anderson
O Mere Dil Ke Chain (From "Mere Jeevan Saathi"),Kishore Kumar
Killed the Lord, Left for the New World,This Will Destroy You
Try a Little Tenderness,Otis Redding
Yaar Bina,Junoon
Lux Aurumque,Eric Whitacre
Malembe Malembe,Bonga
The Boxer,Simon & Garfunkel
Scarborough Fair / Canticle,Simon & Garfunkel
Super Trouper,ABBA
Amidinine,Bombino
Cecilia,Simon & Garfunkel
Tiliaden Osamnat,Tinariwen
Cecilia,Simon & Garfunkel
Le temps de l'amour - Remastered,Françoise Hardy
You Can Call Me Al,Paul Simon
Ain't No Sunshine,Bill Withers
Dotara Song,Coubo
Bird Song - Diplo Remix,M.I.A.
Where Do You Go to (My Lovely),Peter Sarstedt
Look Beyond,Space Facts Wax
Light Through the Veins,Jon Hopkins
Don't Look Back In Anger,Devendra Banhart
Don't Worry Be Happy,Bobby McFerrin
The Cascades,Fleet Foxes
Morning Song,Le Loup
Japura River,Philip Glass
No Scrubs,TLC
Don't Panic,Coldplay
God's Plan,Drake
Fields of Coral,Vangelis
Sastanàqqàm,Tinariwen
The Ledge - 2015 Remaster,Fleetwood Mac
Song My Friends Taught Me (Instrumental),Laura Veirs
Sleep,Eric Whitacre
Journey of the Sorcerer - Eagles 2013 Remaster,Eagles
Beat For,Jamie xx
Killed the Lord, Left for the New World,This Will Destroy You
O Superman - For Massenet Remastered,Laurie Anderson
Penny Lane - Stereo Mix 2017,The Beatles
Amidinine,Bombino
Silly Ho,TLC
Light Through the Veins,Jon Hopkins
Dotara Song,Coubo
The Ledge - 2015 Remaster,Fleetwood Mac
Redemption Song,Bob Marley & The Wailers
Raoui,Souad Massi
Diaraby,Ali Farka Touré
FanMail,TLC
Imajghane,Bombino
Lauren,Men I Trust
Money,Cardi B
falling asleep with a book on your chest (piano version),Lullatone
XR2,M.I.A.
DNA.,Kendrick Lamar
Mere Rashke Qamar,Rahat Fateh Ali Khan
Zara Sa Jhoom Loon Main,Asha Bhosle
Mehndi Laga Ke Rakhna (From "Dilwale Dulhania Le Jayenge"),Lata Mangeshkar
Neend Athi Nahin,Junoon
Ek Pal Ka Jeena,Lucky Ali
Taal Se Taal,A.R. Rahman
Meri mehbooba,Kumar Sanu
Ek Ladki Ko Dekha,Kumar Sanu
Aankhain,Strings
Maps,Yeah Yeah Yeahs
Aadat,Atif Aslam
Nahin Saamne Tu (From "Taal"),Hariharan
Kehna Hi Kya - Bombay / Soundtrack Version,K. S. Chithra
Choli Ke Peeche (From "Khal Nayak"),Alka Yagnik
Mahi Yaar Di Ghadholi,Abida Parveen
Mere Mehboob Qayamat Hogi, Pt. 1,Kishore Kumar
Rangeela Re (from "Rangeela"),Asha Bhosle
Too Cheez Badi Hain,Udit Narayan
Rasputin,Boney M.
Rangeela Re (from "Rangeela"),Asha Bhosle
O Mere Dil Ke Chain (From "Mere Jeevan Saathi"),Kishore Kumar
Gup Chup Gup Chup (From "Karan Arjun"),Alka Yagnik
Ajj Din Chadheya (From "Love Aaj Kal "),Rahat Fateh Ali Khan
Kise Da Yaar Na Vichhre,Nusrat Fateh Ali Khan
Amir,Henri Texier
Minimum,Charlie Cunningham
Matinfa,Etran Finatawa
Sailing Away,Avec
Phir Bhi Dil Hai Hindustani,Jatin-Lalit
Call It Dreaming,Iron & Wine
Nothing Arrived - Live from Spotify London,Villagers
Into The Sun - EP Version,Sons Of The East
Chaiyya Chaiyya (From "Dil Se"),Sukhwinder Singh
Ho gaya hai tujhko to pyar sajna,Lata Mangeshkar
Kelele,Angélique Kidjo
Amir,Henri Texier
Raoui,Souad Massi
I Forget Where We Were,Ben Howard
Tamiditine,Bombino
Ronde,Etran Finatawa
Plastic 100°C,Sampha
Pink + White,Frank Ocean
This Time Tomorrow,The Kinks
This Time Tomorrow,The Kinks
Rose Petals,S. Carey
Ohio,Crosby, Stills, Nash & Young
Alghalem,Terakaft
Malembe Malembe,Bonga
Maneater,Daryl Hall & John Oates
Second Hand News - 2004 Remaster For Digital; 2004 Remaster,Fleetwood Mac
Rock the Casbah - Remastered,The Clash
Casey Jones - 2001 Remaster,Grateful Dead
Do You Believe In Magic?,The Lovin' Spoonful
For What It's Worth,Buffalo Springfield
XR2,M.I.A.
For What It's Worth,Buffalo Springfield
Friend of the Devil - Version; Remastered,Grateful Dead
Rock the Casbah - Remastered,The Clash
A Case of You,Joni Mitchell
Ram On - 2012 Remaster,Paul McCartney
Into The Mystic,Van Morrison
Ram On - 2012 Remaster,Paul McCartney
These Days,Jackson Browne
White Rabbit,Jefferson Airplane
Space Oddity - 2015 Remastered Version,David Bowie
A Horse With No Name,America
Astral Weeks,Van Morrison
Northern Sky,Nick Drake
We Didn't Start the Fire,Billy Joel
Show Me,Neil Young
Scarborough Fair / Canticle,Simon & Garfunkel
The Chain - 2004 Remaster,Fleetwood Mac
Estimated Prophet - 2003 Remaster,Grateful Dead
Journey of the Sorcerer - Eagles 2013 Remaster,Eagles
Money,Cardi B
Coyita,Gustavo Santaolalla
Masâr,Le Trio Joubran
Moorea,Gipsy Kings
De Ushuaia a la Quiaca,Gustavo Santaolalla
Granada - From Vicky Cristina Barcelona,Starlite Unlimited
Big Brother (from the Motion Picture "Vicky Cristina Barcelona"),Stephane Wrembel
RASTA LA VISTA,René Aubry
Marea Baja,Vetusta Morla
Astrids vals,Olov Johansson
Krivo polska,Hazelius Hedin
Istanbul Night,Turkish Traditional
Viaje de las Almas. Travelling Souls,Naseer Shamma
Bistro Fada,Stephane Wrembel
Night After Sidewalk,Kaki King
The Old Favourite,The Gloaming
Sea Tune,Elephant Sessions
Hemet Pine Singer,Will Stratton
Lilla Kulturbidragsvalsen,Väsen
Hüsn-ü Aşk,Aytekin Ataş
The Hanging Moon,Le Trio Joubran
Bone Collector,Julian Lage & Chris Eldridge
Allı Turnam,Ergin Kizilay
Fail Safe,William Tyler
The Trees We Wear,Le Trio Joubran
Duende,Gipsy Kings
30 de Marzo,Rodrigo y Gabriela
Brasileirinho,Ted Falcon
Ruby,Ali Farka Touré
The Long March,Le Trio Joubran
The Hills,Talisk
Waltz of the Circassian Beauties,William Tyler
Hesitation Theme and Variation Blues,Marisa Anderson
Our House,Crosby, Stills, Nash & Young
Chemicals,Gregory Alan Isakov
My Whole World Stopped without You,Vintage Trouble
Mother's Young Gal,Desmond Dekker
Navrai Majhi,Sunidhi Chauhan
My Willow Tree,Alton Ellis
Jiya Jale (From "Dil Se"),Lata Mangeshkar
Bam Bam,Sister Nancy
Rangeela Re (from "Rangeela"),Asha Bhosle
Farewell,Emilio Kauderer & Federico Jusid
Fotos,Alberto Iglesias
RASTA LA VISTA,René Aubry
Granada - From Vicky Cristina Barcelona,Starlite Unlimited
The Book Of Kells,Bruno Coulais
Redemption,Carlos José Alvarez
Los Abrazos Rotos,Alberto Iglesias
Morente Habichuela - Alegrías,Josemi Carmona
Lovin' IT,Gustavo Santaolalla
Me voy a morir de tanto amor,Alberto Iglesias
Soy Marco (From "Talk to Her (Hable Con Ella)"),Alberto Iglesias
Once Upon a December (from Anastasia),Emile Pandolfi
Mia & Sebastian’s Theme - From "La La Land" Soundtrack,Justin Hurwitz
Maria Carolina,Antonio Lauro
Prickly Pear,Portico Quartet
Turn the River: Mandola Theme,Clogs
Doing the Wrong Thing,Kaki King
Deep Gap,Marisa Anderson
Fletcher Bay - Instrumental,Harry Pane
Natzurka,Accordzêam
Derdj Zidane,Capella De Ministrers
One More,Cymande
Transparent Theme,Cinematixx
The Breaking Of The Fellowship (Feat. "In Dreams"),Howard Shore
passing,Mommy
Embryonic Journey,Jefferson Airplane
Chamber Music,Ballaké Sissoko & Vincent Segal
Untitled 1,Ocelote Rojo
Lal Meri Pat,Junoon
Money,Cardi B
Transition,ATELJE
Spirit Bird,Xavier Rudd
Time Rider,Chromatics
Paadathe,Viswajith
Encore (A),Julian Lage
Let It Carry You - Live,José González
Love Theme (from "Romeo and Juliet"),André Rieu
Can I Kick It?,A Tribe Called Quest
O Sanam,Lucky Ali
Teri Deewani (From "Kailasa"),Kailash Kher
Vanessa,Grimes
Lauren,Men I Trust
Imajghane,Bombino
Lauren,Men I Trust
I Got 5 On It,Luniz
The Alien,Ben Salisbury
Were You Me?,Ben Salisbury
Lighthouse Chamber,Ben Salisbury
Were You Me?,Ben Salisbury
The Beach,Ben Salisbury
The Bear,Ben Salisbury
Plant People,Ben Salisbury
Cells Divide,Ben Salisbury
The Body,Ben Salisbury
Plant People,Ben Salisbury
The Body,Ben Salisbury
Sheppard,Ben Salisbury
The Watchtower,Ben Salisbury
For Those That Follow,Ben Salisbury
The Swimming Pool,Ben Salisbury
The Alligator,Ben Salisbury
Space Oddity - 2015 Remastered Version,David Bowie
Front Porch,Joy Williams
The Weight - Remastered,The Band
Disoriented,Ben Salisbury
Approaching the Shimmer,Ben Salisbury
What Do You Know?,Ben Salisbury
For Those That Follow,Ben Salisbury
Disoriented,Ben Salisbury
The Alligator,Ben Salisbury
Reflected In Neon,Portico Quartet
Amidinine,Bombino
From End To End,The Touré-Raichel Collective
Kelele,Angélique Kidjo
Mamamuso,Sona Jobarteh
Kothbiro,Ayub Ogada
Talikoba,Terakaft
Kothbiro,Ayub Ogada
An Mataf Germanawen,Etran Finatawa
Le Bien Et Le Mal,Souad Massi
Sastanàqqàm,Tinariwen
Reflected In Neon,Portico Quartet
Ambulance Chase,Ben Salisbury
Tezeta,Mulatu Astatke
Kuch Kuch Hota Hai,Jatin-Lalit
Ruk Ja O Dil Deewane,Udit Narayan
Saajanji Ghar Aaye,Kavita Krishnamurthy
Meri mehbooba,Kumar Sanu
Leke Pahla Pahla Pyar,Asha Bhosle
Kal Ho Naa Ho - Sad,Shankar-Ehsaan-Loy
Gup Chup Gup Chup (From "Karan Arjun"),Alka Yagnik
Ek Pal Ka Jeena,Lucky Ali
Secrets Of The Stars,The Milk Carton Kids
This Must Be the Place (Naive Melody),Talking Heads
Solo,Frank Ocean
What Do You Know?,Ben Salisbury
Espalha,Bonga
Ek Ladki Ko Dekha,Kumar Sanu
Marea Baja,Vetusta Morla
The 59th Street Bridge Song,Simon & Garfunkel
Aap Jaisa Koi - Qurbani / Soundtrack Version,Nazia Hassan
Shahbaaz Qalandar,Nusrat Fateh Ali Khan
Down To The River To Pray - From “O Brother, Where Art Thou” Soundtrack,Alison Krauss
Symphony No. 9 in D Minor, Op. 125 - "Choral": 4b. Allegro assai - Live,Ludwig van Beethoven
Symphony No. 9 in D Minor, Op. 125 - "Choral": 4a. Finale: Presto - Live,Ludwig van Beethoven
Mountain Air,Cody Francis
The Story,Brandi Carlile
Sweet Creature,Harry Styles
Symphony No. 9 in D Minor, Op. 125 - "Choral": 2. Molto vivace - Live,Ludwig van Beethoven
The 59th Street Bridge Song,Simon & Garfunkel
Carnival Jump,Sandy Bull
Aap Jaisa Koi - Qurbani / Soundtrack Version,Nazia Hassan
Rhiannon,The Langley Schools Music Project
Hiding My Heart,Adele
Give Me Love,Ed Sheeran
Naval,Yann Tiersen
Lauren,Men I Trust
Give Me Love,Ed Sheeran
Niger,Mali Music
Imajghane,Bombino
Money,Cardi B
Money,Cardi B
Khilona Jan Kar Tum To,Mohammed Rafi
Yeh Bandhan Toh (From "Karan Arjun"),Kumar Sanu
Aankhain,Strings
Maine Payal Hai Chhankai,Falguni Pathak
Heeray,Junoon
Saturday Saturday,Sharib Toshi
Heeray,Junoon
Mere Mehboob Qayamat Hogi, Pt. 1 (From "Mr. X in Bombay"),Kishore Kumar
Hanjoo Akhian De,Nusrat Fateh Ali Khan
Love Theme (from "Romeo and Juliet"),André Rieu
Isles,Fleet Foxes
Didi Tera Devar Deewana (From "Hum Aapke Hain Koun"),Lata Mangeshkar
Mere Mehboob Qayamat Hogi, Pt. 1 (From "Mr. X in Bombay"),Kishore Kumar
Laidu,Rokia Traoré
Karkar / Vincent,Boubacar Traoré
Taal Se Taal - Western Version,A.R. Rahman
Taal Se Taal - Western Version,A.R. Rahman
Kapital (Remastered),The Souljazz Orchestra
Leke Pahla Pahla Pyar,Asha Bhosle
Chaiyya Chaiyya (From "Dil Se"),Sukhwinder Singh
Didi Tera Devar Deewana (From "Hum Aapke Hain Koun"),Lata Mangeshkar
Hatida Hondo,Oliver Mtukudzi
Ho gaya hai tujhko to pyar sajna,Lata Mangeshkar
Move to Miami,Enrique Iglesias
Kapital (Remastered),The Souljazz Orchestra
Chandelier - Piano Version,Sia
Mouhamadou Bamba,Orchestra Baobab
All the Same,Vieux Farka Touré
Dehebo - Live,Tartit
Eye Nyam Nam'A'Mensuro - Henrik Schwarz Blend,Ebo Taylor
Amir,Henri Texier
Tigrawahi Tikma,Bombino
Soukora,Ali Farka Touré
Prickly Pear,Portico Quartet
Sweet Blasphemy,Dhafer Youssef
